budget,genres,movie_id,original_language,original_title,popularity,release_date,revenue,runtime,movie_name,vote_average,vote_count,Director,Producer,Actor_1,Actor_2,company_name,keyword_names
14000000,Western,33,en,Unforgiven,37.380435,1992-08-07,159157447,131.0,Unforgiven,7.7,1113,Clint Eastwood,Julian Ludwig,Clint Eastwood,Gene Hackman,Malpaso Productions,"prostitute sheriff regret wyoming, usa right and justice kansas, usa revenge mutilation one last job reputation 19th century englishman pig farmer"
75000000,Animation|Comedy|Family,35,en,The Simpsons Movie,46.875375,2007-07-25,527068851,87.0,The Simpsons Movie,6.9,2264,David Silverman,Claudia Katz,Dan Castellaneta,Julie Kavner,Gracie Films,parent child relationship garbage pollution environmental protection agency quarantine dysfunctional family dysfunctional marriage ecology first love duringcreditsstinger based on tv series
20000000,Science Fiction|Drama|Romance,38,en,Eternal Sunshine of the Spotless Mind,56.481487,2004-03-19,72258126,108.0,Eternal Sunshine of the Spotless Mind,7.9,3652,Michel Gondry,Steve Golin,Jim Carrey,Kate Winslet,Anonymous Content,new york city deja vu regret jealousy amnesia dream operation relationship problems love memory brainwashing relationship heartbreak nonlinear timeline 2000s
2000000,Drama|Thriller,55,es,Amores perros,23.281616,2000-06-16,20908467,154.0,Amores perros,7.6,521,Alejandro González Iñárritu,Raúl Olvera Ferrer,Gael García Bernal,Vanessa Bauche,Altavista Films,"homeless person mexico city, mexico daughter secret love dog fighting money dog nonlinear timeline multiple storylines new mexican cinema"
200000000,Adventure|Fantasy|Action,58,en,Pirates of the Caribbean: Dead Man's Chest,145.847379,2006-06-20,1065659812,151.0,Pirates of the Caribbean: Dead Man's Chest,7.0,5246,Gore Verbinski,Pat Sandston,Johnny Depp,Orlando Bloom,Walt Disney Pictures,witch fortune teller bondage exotic island monster captain east india company compass ship daughter sword fight pirate cannibal swashbuckler kraken aftercreditsstinger based on theme park ride
32000000,Drama|Thriller|Crime,59,en,A History of Violence,34.628738,2005-09-23,60740827,96.0,A History of Violence,6.9,832,David Cronenberg,J.C. Spink,Viggo Mortensen,Maria Bello,New Line Cinema,"robbery double life dual identity small town indiana, usa distrust fight self-defense marriage based on comic revenge family relationships mistaken identity diner lawyer mobster attempted robbery based on graphic novel"
10500000,Science Fiction|Mystery|Adventure,62,en,2001: A Space Odyssey,86.201184,1968-04-10,68700000,149.0,2001: A Space Odyssey,7.9,2998,Stanley Kubrick,Victor Lyndon,Keir Dullea,Gary Lockwood,Stanley Kubrick Productions,moon jupiter artificial intelligence man vs machine based on novel or book technology super computer space travel space mission moon base astronaut cult film evolution monolith space station space opera 2000s
41000000,Drama,65,en,8 Mile,32.798571,2002-11-08,215000000,110.0,8 Mile,6.8,1626,Curtis Hanson,Jimmy Iovine,Eminem,Mekhi Phifer,Imagine Entertainment,"individual street gang adolescence rap music hip-hop rhyme battle trailer park ghetto rapper ethnic stereotype single detroit, michigan 1990s battle rap"
50000000,Crime|Drama|Thriller,66,en,Absolute Power,13.576765,1997-02-14,50068310,121.0,Absolute Power,6.4,223,Clint Eastwood,Karen S. Spiegel,Clint Eastwood,Gene Hackman,Columbia Pictures,"corruption assassination washington dc, usa rape the white house usa president daughter politics government secret service u.s. secret service agent"
15000000,Comedy|Science Fiction,68,en,Brazil,41.089863,1985-02-20,0,132.0,Brazil,7.5,861,Terry Gilliam,Patrick Cassavetti,Jonathan Pryce,Robert De Niro,Embassy International Pictures,bureaucracy police state great britain office dream technology dystopia government satire surrealism steampunk dark comedy terrorism bombing cult film job promotion repairman christmas
28000000,Drama|Music|Romance,69,en,Walk the Line,35.580032,2005-09-13,186438883,136.0,Walk the Line,7.3,718,James Mangold,Cathy Konrad,Joaquin Phoenix,Reese Witherspoon,Tree Line Films,germany prison music record adultery loss of loved one country music guitar concert marriage single johnny cash accident 1960s biographical
30000000,Drama,70,en,Million Dollar Baby,70.456012,2004-12-15,216763646,132.0,Million Dollar Baby,7.7,2439,Clint Eastwood,Albert S. Ruddy,Clint Eastwood,Hilary Swank,Lakeshore Entertainment,transporter suicide attempt fight strong woman boxer dying and death stroke of fate training advancement tragedy female protagonist brutality boxing trainer unlikely friendship female boxing knockout euthanasia determination
5000000,Drama|Comedy|Music,71,en,Billy Elliot,20.428237,2000-05-18,110000000,110.0,Billy Elliot,7.4,750,Stephen Daldry,Natascha Wharton,Jamie Bell,Julie Walters,BBC Films,dancing homophobia mentor dream sadness workers' quarter socialism youngster dancing class letter hope strike ballet dancer northern england small person street riots friendship ballet coming of age young boy cross dressing crying single father audition dance class retrospective lgbt revolt ballet school emotional vulnerability helping children smart kid street kid dance teacher 1980s miners strike father son relationship 80s throwback ballet dancing gay theme late 20th century teen playing kid ya generational divide
20000000,Drama,73,en,American History X,73.567232,1998-10-30,23875127,119.0,American History X,8.2,3016,Tony Kaye,John Morrissey,Edward Norton,Edward Furlong,New Line Cinema,"neo-nazism prison skinhead sibling relationship rape fascism brother jail school swastika los angeles, california family xenophobia interracial friendship nazism"
132000000,Adventure|Thriller|Science Fiction,74,en,War of the Worlds,48.572726,2005-06-28,591739379,116.0,War of the Worlds,6.2,2322,Steven Spielberg,Colin Wilson,Tom Cruise,Dakota Fanning,Paramount Pictures,post-traumatic stress disorder new jersey based on novel or book underground airplane dystopia daughter remake alien survival apocalypse creature alien invasion human subjugation
70000000,Comedy|Fantasy|Science Fiction,75,en,Mars Attacks!,44.090535,1996-12-12,101371017,106.0,Mars Attacks!,6.1,1509,Tim Burton,Laurie Parker,Jack Nicholson,Glenn Close,Tim Burton Productions,saving the world total destruction the white house planet mars usa president cataclysm laser gun ambassador congress flying saucer based on comic parody alien dark comedy creature alien invasion horror comedy outer space
2500000,Drama|Romance,76,en,Before Sunrise,23.672571,1995-01-27,5535405,105.0,Before Sunrise,7.7,959,Richard Linklater,Anne Walker-McBay,Ethan Hawke,Julie Delpy,Detour Film Production,"sunrise talking soulmates walking austria vienna, austria"
9000000,Mystery|Thriller,77,en,Memento,60.715151,2000-10-11,39723096,113.0,Memento,8.1,4028,Christopher Nolan,Suzanne Todd,Guy Pearce,Carrie-Anne Moss,Summit Entertainment,"insulin tattoo waitress amnesia drug dealer motel manipulation insurance salesman revenge murder flashback confusion memory loss psychological thriller whodunit los angeles, california polaroid cult film based on short story nonlinear timeline individuality phone call neo-noir reverse chronology"
28000000,Science Fiction|Drama|Thriller,78,en,Blade Runner,94.056131,1982-06-25,33139618,117.0,Blade Runner,7.9,3509,Ridley Scott,Michael Deeley,Harrison Ford,Rutger Hauer,Shaw Brothers,"artificial intelligence flying car bounty hunter android based on novel or book dystopia genetics futuristic fugitive cyberpunk los angeles, california cult film tech noir neo-noir blade runner 2010s"
31000000,Drama|Adventure|Action|History,79,zh,英雄,23.607392,2002-12-19,177394432,99.0,Hero,7.2,635,Zhang Yimou,Zhenyan Zhang,Jet Li,Tony Leung Chiu-Wai,Beijing New Picture Film Co. Ltd.,countryside loss of loved one martial arts kung fu right and justice patriot wuxia warring states period 3rd century bc
2700000,Drama|Romance,80,en,Before Sunset,14.799323,2004-02-10,15992615,80.0,Before Sunset,7.6,718,Richard Linklater,Anne Walker-McBay,Ethan Hawke,Julie Delpy,Castle Rock Entertainment,"paris, france journalist talking soulmates walking bookshop love of one's life author two-hander"
130000,Drama|Thriller,83,en,Open Water,15.611857,2004-08-06,54667954,79.0,Open Water,5.4,315,Chris Kentis,Laura Lau,Blanchard Ryan,Daniel Travis,Plunge Pictures LLC,diving cataclysm nightmare panic red sea primal fear scuba diving shark scuba
18000000,Adventure|Action,85,en,Raiders of the Lost Ark,68.159596,1981-06-12,389925971,115.0,Raiders of the Lost Ark,7.7,3854,Steven Spielberg,Frank Marshall,Harrison Ford,Karen Allen,Lucasfilm,saving the world riddle nepal himalaya mountain range cairo moses egypt whip treasure medallion leather jacket nazi hat mediterranean ark of the covenant ten commandments treasure hunt excavation swastika archaeologist adventurer archeology religious history 1930s
28000000,Adventure|Action,87,en,Indiana Jones and the Temple of Doom,66.976776,1984-05-23,333000000,118.0,Indiana Jones and the Temple of Doom,7.1,2781,Steven Spielberg,Robert Watts,Harrison Ford,Kate Capshaw,Lucasfilm,riddle treasure wind elephant heart crocodile bridge skeleton treasure hunt torture india monkey archaeologist conveyor belt child driving car mine car rope bridge splits adventurer archeology 1930s
48000000,Adventure|Action,89,en,Indiana Jones and the Last Crusade,80.972475,1989-05-24,474171806,127.0,Indiana Jones and the Last Crusade,7.6,3152,Steven Spielberg,Arthur F. Repola,Harrison Ford,Sean Connery,Lucasfilm,"germany saving the world venice, italy holy grail riddle nazi entrapment crusader brotherhood zeppelin book burning tank nazi officer boat chase gestapo single father traveling circus archaeologist bible quote medieval boy scouts german soldier motorcycle chase hindenburg german agent 1930s biblical archaeology father son relationship adolf hitler german language knights templar nazi germany the crusades"
15000000,Action|Comedy|Crime,90,en,Beverly Hills Cop,29.843818,1984-11-29,316360478,105.0,Beverly Hills Cop,6.8,961,Martin Brest,Don Simpson,Eddie Murphy,Judge Reinhold,Paramount Pictures,"california showdown undercover strip club investigation police smuggling (contraband) swimming pool gunfight mansion los angeles, california foot chase art gallery detroit, michigan warehouse beverly hills buddy cop buddy comedy country club maverick cop damsel in distress bar fight"
140000000,Action|Thriller|Science Fiction|Adventure,95,en,Armageddon,58.485967,1998-07-01,553799566,151.0,Armageddon,6.4,2482,Michael Bay,Gale Anne Hurd,Bruce Willis,Billy Bob Thornton,Jerry Bruckheimer Films,"saving the world paris, france moon washington dc, usa loss of loved one cataclysm asteroid self sacrifice nasa space marine u.s. air force race against time natural disaster daughter space end of the world disaster wedding astronaut duringcreditsstinger disaster movie heroic mission space centre daring rescues"
20000000,Action|Comedy|Crime,96,en,Beverly Hills Cop II,25.28436,1987-05-18,299965036,100.0,Beverly Hills Cop II,6.1,613,Tony Scott,Don Simpson,Eddie Murphy,Judge Reinhold,Paramount Pictures,"arms smuggling detective intensive care undercover strip club armored car investigation police swimming pool sequel shootout gunfight los angeles, california explosion detroit, michigan horse track beverly hills buddy cop oil field cement truck playboy mansion shooting range superdetective"
103000000,Action|Drama|Adventure,98,en,Gladiator,95.301296,2000-05-01,457640427,155.0,Gladiator,7.9,5439,Ridley Scott,Douglas Wick,Russell Crowe,Joaquin Phoenix,DreamWorks SKG,"rome, italy parent child relationship gladiator arena senate roman empire emperor slavery ancient rome epic revenge battlefield slave auction historical fiction ancient world combat chariot philosopher barbarian horde 2nd century successor commodus maximus"
1350000,Comedy|Crime,100,en,"Lock, Stock and Two Smoking Barrels",16.032594,1998-03-05,3897569,105.0,"Lock, Stock and Two Smoking Barrels",7.5,1648,Guy Ritchie,Matthew Vaughn,Jason Flemyng,Dexter Fletcher,Handmade Films Ltd.,ambush alcohol shotgun tea joint machismo cocktail rifle marijuana pot smoking hatchet antique cardsharp anger cult film carjacking piano strip show high stakes
1300000,Crime|Drama,103,en,Taxi Driver,58.845025,1976-02-07,28262574,114.0,Taxi Driver,8.0,2535,Martin Scorsese,Michael Phillips,Robert De Niro,Cybill Shepherd,Columbia Pictures Corporation,"new york city vietnam veteran taxi pornography obsession pimp taxi driver drug dealer politician firearm vigilante junk food alienation misanthrophy illegal prostitution character study loner manhattan, new york city neo-noir child prostitution new hollywood drives"
1530000,Action|Drama|Thriller,104,de,Lola rennt,27.36562,1998-08-20,7267585,81.0,Run Lola Run,7.2,664,Tom Tykwer,Gebhard Henke,Franka Potente,Moritz Bleibtreu,X-Filme Creative Pool,"berlin, germany casino nun red hair homeless person supermarket ambulance subway daughter money fate"
19000000,Adventure|Comedy|Science Fiction|Family,105,en,Back to the Future,76.603233,1985-07-03,381109762,116.0,Back to the Future,8.0,6079,Robert Zemeckis,Neil Canton,Michael J. Fox,Christopher Lloyd,Universal Pictures,clock tower flying car car race terrorist lightning guitar plutonium inventor journey in the past invention time travel race against time bullying mad scientist fish out of water teenage love destiny hidden identity love and romance teenage life changing the past or future 1950s
18000000,Science Fiction|Action|Adventure|Thriller,106,en,Predator,50.009408,1987-06-11,98235548,107.0,Predator,7.3,2093,John McTiernan,Lawrence Gordon,Arnold Schwarzenegger,Carl Weathers,Twentieth Century Fox Film Corporation,guerrilla warfare central and south america predator alien stalking survival trap creature alien invasion invisible commando
10000000,Thriller|Crime,107,en,Snatch,53.595686,2000-09-01,83557872,103.0,Snatch,7.7,2912,Guy Ritchie,Matthew Vaughn,Jason Statham,Brad Pitt,Columbia Pictures Corporation,england gypsy gambling bare knuckle boxing slang robbery trailer park antwerp boxer gangster pig underground fighting cult film diamond heist pikey
25000000,Action|Crime|Drama|Thriller,111,en,Scarface,70.105981,1983-12-08,65884703,170.0,Scarface,8.0,2948,Brian De Palma,Martin Bregman,Al Pacino,Steven Bauer,Universal Pictures,"sibling relationship miami, florida corruption loss of loved one cuba prohibition era cocaine gangster rise and fall remake drug cartel mafia drug lord bitterness rise to power miami beach cuban refugees drug war"
14000000,Romance|Comedy,114,en,Pretty Woman,45.473484,1990-03-23,463000000,119.0,Pretty Woman,7.0,1746,Garry Marshall,Steven Reuther,Julia Roberts,Richard Gere,Touchstone Pictures,"prostitute capitalism hotel expensive restaurant sports car workaholic fire escape friendship los angeles, california beverly hills piano bubble bath"
15000000,Comedy|Crime,115,en,The Big Lebowski,49.230089,1998-03-06,46189568,117.0,The Big Lebowski,7.8,2926,Joel Coen,Ethan Coen,Jeff Bridges,John Goodman,Gramercy Pictures,"white russian bowling vietnam veteran carpet nihilism heart attack kidnapping lsd marijuana los angeles, california millionaire cult film cowboy ashes impregnation bowling team unemployed bowling ball neo-noir weeds"
15000000,Drama|Thriller|Crime|Romance,116,en,Match Point,30.669913,2005-10-26,85306374,124.0,Match Point,7.3,1105,Woody Allen,Gareth Wiley,Jonathan Rhys Meyers,Scarlett Johansson,DreamWorks,"love triangle london, england upper class adultery tennis river thames sports love wealth lust gold digger instructor social climbing"
25000000,Crime|Drama|History|Thriller,117,en,The Untouchables,38.272889,1987-06-02,76270454,119.0,The Untouchables,7.6,1384,Brian De Palma,Art Linson,Kevin Costner,Sean Connery,Paramount Pictures,"chicago, illinois prohibition era gangster baseball bat white suit tough cop treasury agent untouchable tax evasion jury tampering 1930s"
150000000,Adventure|Comedy|Family|Fantasy,118,en,Charlie and the Chocolate Factory,53.905592,2005-07-13,474968763,115.0,Charlie and the Chocolate Factory,6.7,3624,Tim Burton,Lorne Orleans,Johnny Depp,Freddie Highmore,Village Roadshow Pictures,"london, england chocolate factory worker based on novel or book parent child relationship candy overweight child grandparent grandchild relationship teacher candy bar"
93000000,Adventure|Fantasy|Action,120,en,The Lord of the Rings: The Fellowship of the Ring,138.049577,2001-12-18,871368364,178.0,The Lord of the Rings: The Fellowship of the Ring,8.0,8705,Peter Jackson,Peter Jackson,Elijah Wood,Ian McKellen,WingNut Films,elves dwarf orcs loss of loved one based on novel or book river mountain mine maze magic fireworks castle volcano birthday party uncle addiction fugitive battle death blizzard wizard journey ring live action and animation sword and sorcery
79000000,Adventure|Fantasy|Action,121,en,The Lord of the Rings: The Two Towers,106.914973,2002-12-18,926287400,179.0,The Lord of the Rings: The Two Towers,8.0,7487,Peter Jackson,Peter Jackson,Elijah Wood,Ian McKellen,WingNut Films,elves dwarf orcs based on novel or book explosive cave funeral siege fort army addiction mission attack dragon guide death split personality wizard ring live action and animation sword and sorcery
94000000,Adventure|Fantasy|Action,122,en,The Lord of the Rings: The Return of the King,123.630332,2003-12-01,1118888979,201.0,The Lord of the Rings: The Return of the King,8.1,8064,Peter Jackson,Peter Jackson,Elijah Wood,Ian McKellen,WingNut Films,elves dwarf orcs based on novel or book suspicion volcano bravery addiction honor royalty troll brutality ghost wizard quest live action and animation sword and sorcery
26500000,Adventure|Fantasy|Animation,128,ja,もののけ姫,60.732738,1997-07-12,159375308,134.0,Princess Mononoke,8.2,1983,Hayao Miyazaki,Toshio Suzuki,Yōji Matsuda,Yuriko Ishida,Miramax Films,fight wolf human vs nature leprosy wild boar territory feral child friendship rural area decapitation historical fiction spirit demon nature environmentalism deforestation anime industrialization
15000000,Fantasy|Adventure|Animation|Family,129,ja,千と千尋の神隠し,118.968562,2001-07-20,274925095,125.0,Spirited Away,8.3,3840,Hayao Miyazaki,Toshio Suzuki,Rumi Hiiragi,Miyu Irino,Studio Ghibli,witch parent child relationship magic darkness bath house spirit parallel world amusement park youkai japanese mythology anime
26000000,Action|Adventure|Comedy,134,en,"O Brother, Where Art Thou?",39.742009,2000-08-30,71868327,106.0,"O Brother, Where Art Thou?",7.3,1112,Joel Coen,Ethan Coen,George Clooney,John Turturro,Universal Pictures,prophecy southern usa music record country music mississippi river based on novel or book seduction fraud
14600000,Romance|Fantasy|Drama|Comedy,137,en,Groundhog Day,52.744331,1993-02-11,70906973,101.0,Groundhog Day,7.4,2301,Harold Ramis,Trevor Albert,Bill Murray,Andie MacDowell,Columbia Pictures,"holiday deja vu groundhog weather forecast telecaster pennsylvania, usa alarm clock winter time warp time loop cult film magic realism existentialism groundhog day"
6000000,Fantasy|Drama|Mystery,141,en,Donnie Darko,61.210016,2001-01-18,1270522,113.0,Donnie Darko,7.7,3452,Richard Kelly,Nancy Juvonen,Jake Gyllenhaal,Jena Malone,Pandora Cinema,fire parent child relationship halloween airplane time travel loss school performance imaginary friend surrealism suburbia vision cult film mental illness virginia sleepwalking 1980s parallel universe plot twist
14000000,Drama|Romance,142,en,Brokeback Mountain,44.135568,2005-09-02,178043761,134.0,Brokeback Mountain,7.5,1480,Ang Lee,James Schamus,Heath Ledger,Jake Gyllenhaal,River Road Entertainment,"countryside homophobia wyoming, usa intolerance marriage crisis secret love in the closet summer cowboy lgbt star crossed lovers 1960s closeted homosexual gay romance gay theme gay relationship"
17000000,Adventure|Drama|Action|Romance,146,zh,卧虎藏龙,45.742254,2000-10-01,213525736,120.0,"Crouching Tiger, Hidden Dragon",7.2,927,Ang Lee,Li-Kong Hsu,Chow Yun-fat,Michelle Yeoh,Sony Pictures Classics,flying martial arts kung fu based on novel or book mountain sword taskmaster comb tiger fistfight sword fight thief revenge villainess theft historical female martial artist 18th century wuxia warrior bamboo tavern fight action hero qing dynasty
8000000,Science Fiction|Animation,149,ja,アキラ,39.338097,1988-07-16,553171,124.0,Akira,7.8,773,Katsuhiro Ōtomo,Ryôhei Suzuki,Mitsuo Iwata,Nozomu Sasaki,Bandai Visual Company,saving the world total destruction megacity street gang underground general stadium experiment atomic bomb mutation dystopia army cyberpunk motorcycle gang cult film psychotronic anime 2010s
35000000,Science Fiction|Adventure|Mystery,152,en,Star Trek: The Motion Picture,24.616634,1979-12-06,139000000,132.0,Star Trek: The Motion Picture,6.2,530,Robert Wise,Jon Povill,William Shatner,Leonard Nimoy,Paramount Pictures,"artificial intelligence man vs machine san francisco, california self sacrifice starship spacecraft teleportation space opera reunited friends outer space"
4000000,Drama,153,en,Lost in Translation,45.66662,2003-08-31,119723856,102.0,Lost in Translation,7.3,1895,Sofia Coppola,Ross Katz,Bill Murray,Scarlett Johansson,American Zoetrope,"upper class japan adultery hotel room age difference photographer commercial karaoke homesickness culture clash midlife crisis jet lag pop star unsociability loneliness tokyo, japan unlikely friendship aftercreditsstinger woman director"
12000000,Action|Adventure|Science Fiction|Thriller,154,en,Star Trek II: The Wrath of Khan,22.434102,1982-06-03,96800000,113.0,Star Trek II: The Wrath of Khan,7.3,675,Nicholas Meyer,Robert Sallin,William Shatner,Leonard Nimoy,Paramount Pictures,life and death genesis asteroid self sacrifice starship midlife crisis spacecraft terraforming simulator cadet radiation teleportation uss reliant genetics revenge weapon of mass destruction space opera mentor protégé relationship outer space
185000000,Drama|Action|Crime|Thriller,155,en,The Dark Knight,187.322927,2008-07-16,1004558444,152.0,The Dark Knight,8.2,12002,Christopher Nolan,Lorne Orleans,Christian Bale,Heath Ledger,DC Comics,crime fighter secret identity anti hero scarecrow sadism chaos vigilante joker superhero based on comic tragic hero organized crime anti villain criminal mastermind district attorney super power super villain neo-noir
18000000,Science Fiction|Action|Adventure|Thriller,157,en,Star Trek III: The Search for Spock,15.314027,1984-05-31,87000000,105.0,Star Trek III: The Search for Spock,6.4,434,Leonard Nimoy,Harve Bennett,William Shatner,Leonard Nimoy,Paramount Pictures,genesis starship spacecraft teleportation friendship resurrection destruction of planet space opera alien friendship father son relationship mating ritual outer space
85000000,Thriller|Crime,161,en,Ocean's Eleven,60.929352,2001-12-07,450717150,116.0,Ocean's Eleven,7.2,3783,Steven Soderbergh,Jerry Weintraub,George Clooney,Brad Pitt,Village Roadshow Pictures,"prison casino pickpocket strip club thief caper heist con artist atlantic city salt lake city, utah las vegas card dealer explosives expert"
20000000,Fantasy|Drama|Romance,162,en,Edward Scissorhands,47.51363,1990-12-05,53000000,105.0,Edward Scissorhands,7.5,3601,Tim Burton,Denise Di Novi,Johnny Depp,Winona Ryder,Twentieth Century Fox Film Corporation,underdog love at first sight hairdresser small town scissors inventor burglar isolation sadness symbolism castle fairy tale unsociability alone flashback tragic love snow gothic told in flashback christmas horror christmas artificial hair salon signs & wonders love story goth frankenstein topiary
110000000,Thriller|Crime,163,en,Ocean's Twelve,76.840712,2004-12-09,362744280,125.0,Ocean's Twelve,6.4,2124,Steven Soderbergh,Jerry Weintraub,George Clooney,Brad Pitt,Village Roadshow Pictures,"rome, italy sequel heist fabergé egg golden egg goon"
40000000,Adventure|Comedy|Family|Science Fiction,165,en,Back to the Future Part II,43.345252,1989-11-20,332000000,108.0,Back to the Future Part II,7.4,3829,Robert Zemeckis,Neil Canton,Michael J. Fox,Christopher Lloyd,Universal Pictures,skateboarding flying car car race lightning guitar inventor time travel sequel car crash diner alternate history thunderstorm tunnel high school dance hoverboard 2010s
48000000,Drama|Science Fiction,167,en,K-PAX,30.920075,2001-10-22,50315140,120.0,K-PAX,7.1,695,Iain Softley,Robert F. Colesberry,Jeff Bridges,Kevin Spacey,Intermedia Films,robbery dream hypnosis investigation murder alien hospital planet patient medication psychiatrist claim mental
24000000,Science Fiction|Adventure,168,en,Star Trek IV: The Voyage Home,22.258428,1986-11-25,133000000,119.0,Star Trek IV: The Voyage Home,6.9,477,Leonard Nimoy,Harve Bennett,William Shatner,Leonard Nimoy,Paramount Pictures,"saving the world san francisco, california uss enterprise-a starship spacecraft teleportation time travel whale marine biologist humpback whale space opera whaling ship aircraft carrier outer space space probe cloaking device"
35000000,Science Fiction|Action|Thriller,169,en,Predator 2,27.934978,1990-11-20,57120318,108.0,Predator 2,5.9,730,Stephen Hopkins,John Davis,Kevin Peter Hall,Danny Glover,Twentieth Century Fox Film Corporation,"predator war on drugs extraterrestrial technology alien los angeles, california creature alien invasion invisible"
5000000,Horror|Thriller|Science Fiction,170,en,28 Days Later,45.490374,2002-10-31,82719885,113.0,28 Days Later,7.1,1777,Danny Boyle,Andrew Macdonald,Cillian Murphy,Naomie Harris,DNA Films,"london, england taxi submachine gun gas station daughter laboratory hospital zombie brutality church rage epidemic cult film military virus waking from coma animal research"
