budget,genres,movie_id,original_language,original_title,popularity,release_date,revenue,runtime,movie_name,vote_average,vote_count,Director,Producer,Actor_1,Actor_2,company_name
15000000,Comedy|Crime,115,en,The Big Lebowski,49.230089,1998-03-06,46189568,117.0,The Big Lebowski,7.8,2926,Joel Coen,Ethan Coen,Jeff Bridges,John Goodman,Gramercy Pictures
15000000,Drama|Thriller|Crime|Romance,116,en,Match Point,30.669913,2005-10-26,85306374,124.0,Match Point,7.3,1105,Woody Allen,Gareth Wiley,Jonathan Rhys Meyers,Scarlett Johansson,DreamWorks
25000000,Crime|Drama|History|Thriller,117,en,The Untouchables,38.272889,1987-06-02,76270454,119.0,The Untouchables,7.6,1384,Brian De Palma,Art Linson,Kevin Costner,Sean Connery,Paramount Pictures
150000000,Adventure|Comedy|Family|Fantasy,118,en,Charlie and the Chocolate Factory,53.905592,2005-07-13,474968763,115.0,Charlie and the Chocolate Factory,6.7,3624,Tim Burton,Lorne Orleans,Johnny Depp,Freddie Highmore,Village Roadshow Pictures
93000000,Adventure|Fantasy|Action,120,en,The Lord of the Rings: The Fellowship of the Ring,138.049577,2001-12-18,871368364,178.0,The Lord of the Rings: The Fellowship of the Ring,8.0,8705,Peter Jackson,Peter Jackson,Elijah Wood,Ian McKellen,WingNut Films
79000000,Adventure|Fantasy|Action,121,en,The Lord of the Rings: The Two Towers,106.914973,2002-12-18,926287400,179.0,The Lord of the Rings: The Two Towers,8.0,7487,Peter Jackson,Peter Jackson,Elijah Wood,Ian McKellen,WingNut Films
94000000,Adventure|Fantasy|Action,122,en,The Lord of the Rings: The Return of the King,123.630332,2003-12-01,1118888979,201.0,The Lord of the Rings: The Return of the King,8.1,8064,Peter Jackson,Peter Jackson,Elijah Wood,Ian McKellen,WingNut Films
26500000,Adventure|Fantasy|Animation,128,ja,もののけ姫,60.732738,1997-07-12,159375308,134.0,Princess Mononoke,8.2,1983,Hayao Miyazaki,Toshio Suzuki,Yōji Matsuda,Yuriko Ishida,Miramax Films
15000000,Fantasy|Adventure|Animation|Family,129,ja,千と千尋の神隠し,118.968562,2001-07-20,274925095,125.0,Spirited Away,8.3,3840,Hayao Miyazaki,Toshio Suzuki,Rumi Hiiragi,Miyu Irino,Studio Ghibli
26000000,Action|Adventure|Comedy,134,en,"O Brother, Where Art Thou?",39.742009,2000-08-30,71868327,106.0,"O Brother, Where Art Thou?",7.3,1112,Joel Coen,Ethan Coen,George Clooney,John Turturro,Universal Pictures
14600000,Romance|Fantasy|Drama|Comedy,137,en,Groundhog Day,52.744331,1993-02-11,70906973,101.0,Groundhog Day,7.4,2301,Harold Ramis,Trevor Albert,Bill Murray,Andie MacDowell,Columbia Pictures
6000000,Fantasy|Drama|Mystery,141,en,Donnie Darko,61.210016,2001-01-18,1270522,113.0,Donnie Darko,7.7,3452,Richard Kelly,Nancy Juvonen,Jake Gyllenhaal,Jena Malone,Pandora Cinema
14000000,Drama|Romance,142,en,Brokeback Mountain,44.135568,2005-09-02,178043761,134.0,Brokeback Mountain,7.5,1480,Ang Lee,James Schamus,Heath Ledger,Jake Gyllenhaal,River Road Entertainment
17000000,Adventure|Drama|Action|Romance,146,zh,卧虎藏龙,45.742254,2000-10-01,213525736,120.0,"Crouching Tiger, Hidden Dragon",7.2,927,Ang Lee,Li-Kong Hsu,Chow Yun-fat,Michelle Yeoh,Sony Pictures Classics
8000000,Science Fiction|Animation,149,ja,アキラ,39.338097,1988-07-16,553171,124.0,Akira,7.8,773,Katsuhiro Ōtomo,Ryôhei Suzuki,Mitsuo Iwata,Nozomu Sasaki,Bandai Visual Company
35000000,Science Fiction|Adventure|Mystery,152,en,Star Trek: The Motion Picture,24.616634,1979-12-06,139000000,132.0,Star Trek: The Motion Picture,6.2,530,Robert Wise,Jon Povill,William Shatner,Leonard Nimoy,Paramount Pictures
4000000,Drama,153,en,Lost in Translation,45.66662,2003-08-31,119723856,102.0,Lost in Translation,7.3,1895,Sofia Coppola,Ross Katz,Bill Murray,Scarlett Johansson,American Zoetrope
12000000,Action|Adventure|Science Fiction|Thriller,154,en,Star Trek II: The Wrath of Khan,22.434102,1982-06-03,96800000,113.0,Star Trek II: The Wrath of Khan,7.3,675,Nicholas Meyer,Robert Sallin,William Shatner,Leonard Nimoy,Paramount Pictures
185000000,Drama|Action|Crime|Thriller,155,en,The Dark Knight,187.322927,2008-07-16,1004558444,152.0,The Dark Knight,8.2,12002,Christopher Nolan,Lorne Orleans,Christian Bale,Heath Ledger,DC Comics
18000000,Science Fiction|Action|Adventure|Thriller,157,en,Star Trek III: The Search for Spock,15.314027,1984-05-31,87000000,105.0,Star Trek III: The Search for Spock,6.4,434,Leonard Nimoy,Harve Bennett,William Shatner,Leonard Nimoy,Paramount Pictures
85000000,Thriller|Crime,161,en,Ocean's Eleven,60.929352,2001-12-07,450717150,116.0,Ocean's Eleven,7.2,3783,Steven Soderbergh,Jerry Weintraub,George Clooney,Brad Pitt,Village Roadshow Pictures
20000000,Fantasy|Drama|Romance,162,en,Edward Scissorhands,47.51363,1990-12-05,53000000,105.0,Edward Scissorhands,7.5,3601,Tim Burton,Denise Di Novi,Johnny Depp,Winona Ryder,Twentieth Century Fox Film Corporation
110000000,Thriller|Crime,163,en,Ocean's Twelve,76.840712,2004-12-09,362744280,125.0,Ocean's Twelve,6.4,2124,Steven Soderbergh,Jerry Weintraub,George Clooney,Brad Pitt,Village Roadshow Pictures
40000000,Adventure|Comedy|Family|Science Fiction,165,en,Back to the Future Part II,43.345252,1989-11-20,332000000,108.0,Back to the Future Part II,7.4,3829,Robert Zemeckis,Neil Canton,Michael J. Fox,Christopher Lloyd,Universal Pictures
48000000,Drama|Science Fiction,167,en,K-PAX,30.920075,2001-10-22,50315140,120.0,K-PAX,7.1,695,Iain Softley,Robert F. Colesberry,Jeff Bridges,Kevin Spacey,Intermedia Films
24000000,Science Fiction|Adventure,168,en,Star Trek IV: The Voyage Home,22.258428,1986-11-25,133000000,119.0,Star Trek IV: The Voyage Home,6.9,477,Leonard Nimoy,Harve Bennett,William Shatner,Leonard Nimoy,Paramount Pictures
35000000,Science Fiction|Action|Thriller,169,en,Predator 2,27.934978,1990-11-20,57120318,108.0,Predator 2,5.9,730,Stephen Hopkins,John Davis,Kevin Peter Hall,Danny Glover,Twentieth Century Fox Film Corporation
5000000,Horror|Thriller|Science Fiction,170,en,28 Days Later,45.490374,2002-10-31,82719885,113.0,28 Days Later,7.1,1777,Danny Boyle,Andrew Macdonald,Cillian Murphy,Naomie Harris,DNA Films
30000000,Science Fiction|Action|Adventure|Thriller,172,en,Star Trek V: The Final Frontier,19.578249,1989-06-09,70200000,107.0,Star Trek V: The Final Frontier,5.6,376,William Shatner,Harve Bennett,William Shatner,Leonard Nimoy,Paramount Pictures
5000000,Adventure|Drama|Science Fiction,173,en,"20,000 Leagues Under the Sea",9.358197,1954-12-23,28200000,127.0,"20,000 Leagues Under the Sea",6.8,157,Richard Fleischer,Walt Disney,Kirk Douglas,James Mason,Walt Disney Productions
27000000,Science Fiction|Action|Adventure|Thriller,174,en,Star Trek VI: The Undiscovered Country,16.188572,1991-12-05,96900000,113.0,Star Trek VI: The Undiscovered Country,6.7,413,Nicholas Meyer,Ralph Winter,William Shatner,Leonard Nimoy,Paramount Pictures
1200000,Horror|Mystery|Crime,176,en,Saw,63.655973,2004-10-01,103911669,103.0,Saw,7.2,2184,James Wan,Oren Koules,Cary Elwes,Danny Glover,Lions Gate Films
24000000,Comedy|Drama,177,en,The Fisher King,16.146572,1991-09-09,41895491,137.0,The Fisher King,7.2,341,Terry Gilliam,Lynda Obst,Jeff Bridges,Robin Williams,TriStar Pictures
80000000,Crime|Thriller,179,en,The Interpreter,18.69984,2005-04-08,162944923,128.0,The Interpreter,6.2,392,Sydney Pollack,Kevin Misher,Nicole Kidman,Sean Penn,Universal Pictures
102000000,Action|Thriller|Science Fiction|Mystery,180,en,Minority Report,65.948959,2002-06-20,358372926,145.0,Minority Report,7.1,2608,Steven Spielberg,Walter F. Parkes,Tom Cruise,Colin Farrell,DreamWorks SKG
32000000,War|Crime|Drama|Mystery|Romance|Thriller,182,en,The Good German,5.347936,2006-12-08,5914908,108.0,The Good German,5.9,86,Steven Soderbergh,,George Clooney,Cate Blanchett,Warner Bros.
12000000,Comedy|Crime|Romance,184,en,Jackie Brown,40.631671,1997-12-24,39673162,154.0,Jackie Brown,7.3,1514,Quentin Tarantino,Lawrence Bender,Pam Grier,Samuel L. Jackson,Miramax Films
27000000,Drama|Thriller|Crime|Mystery,186,en,Lucky Number Slevin,36.921445,2006-02-24,56308881,110.0,Lucky Number Slevin,7.4,1323,Paul McGuigan,Robert Kravis,Josh Hartnett,Bruce Willis,The Weinstein Company
40000000,Action|Thriller|Crime,187,en,Sin City,66.003433,2005-04-01,158733820,124.0,Sin City,7.2,2691,Frank Miller,Elizabeth Avellan,Jessica Alba,Devon Aoki,Dimension Films
65000000,Crime|Thriller,189,en,Sin City: A Dame to Kill For,85.428395,2014-08-20,39407616,102.0,Sin City: A Dame to Kill For,6.3,1286,Frank Miller,Stephen L'Heureux,Mickey Rourke,Jessica Alba,Miramax Films
38000000,Science Fiction|Action|Adventure|Thriller,193,en,Star Trek: Generations,14.779041,1994-11-17,120000000,118.0,Star Trek: Generations,6.4,452,David Carson,Peter Lauritson,Patrick Stewart,Jonathan Frakes,Paramount Pictures
10000000,Comedy|Romance,194,fr,Le fabuleux destin d'Amélie Poulain,73.720244,2001-04-25,173921954,122.0,Amélie,7.8,3310,Jean-Pierre Jeunet,Arne Meerkamp van Embden,Audrey Tautou,Mathieu Kassovitz,France 3 Cinéma
40000000,Adventure|Comedy|Family|Science Fiction,196,en,Back to the Future Part III,45.769562,1990-05-25,244527583,118.0,Back to the Future Part III,7.1,2900,Robert Zemeckis,Neil Canton,Michael J. Fox,Christopher Lloyd,Universal Pictures
72000000,Action|Drama|History|War,197,en,Braveheart,60.722162,1995-05-24,210000000,177.0,Braveheart,7.7,3336,Mel Gibson,Dean Lopata,Mel Gibson,Catherine McCormack,Icon Entertainment International
46000000,Science Fiction|Action|Adventure|Thriller,199,en,Star Trek: First Contact,25.6713,1996-11-21,150000000,111.0,Star Trek: First Contact,7.0,661,Jonathan Frakes,Peter Lauritson,Patrick Stewart,Jonathan Frakes,Paramount Pictures
70000000,Science Fiction|Action|Adventure|Thriller,200,en,Star Trek: Insurrection,19.711951,1998-12-10,118000000,103.0,Star Trek: Insurrection,6.3,391,Jonathan Frakes,Michael Piller,Patrick Stewart,Jonathan Frakes,Paramount Pictures
60000000,Science Fiction|Action|Adventure|Thriller,201,en,Star Trek: Nemesis,21.605533,2002-12-13,67312826,117.0,Star Trek: Nemesis,6.1,479,Stuart Baird,Peter Lauritson,Patrick Stewart,Jonathan Frakes,Paramount Pictures
500000,Drama|Crime,203,en,Mean Streets,17.002096,1973-10-02,3000000,110.0,Mean Streets,7.2,345,Martin Scorsese,Jonathan T. Taplin,Harvey Keitel,Robert De Niro,Scorsese Productions
17500000,Drama|History|War,205,en,Hotel Rwanda,28.60542,2004-09-11,38000000,121.0,Hotel Rwanda,7.5,793,Terry George,A. Kitman Ho,Don Cheadle,Sophie Okonedo,Lions Gate Films
16400000,Drama,207,en,Dead Poets Society,55.458584,1989-06-02,235860116,129.0,Dead Poets Society,8.1,2705,Peter Weir,Tony Thomas,Robin Williams,Ethan Hawke,Touchstone Pictures
10000000,Horror|Thriller|Crime,214,en,Saw III,33.124871,2006-10-27,163876815,108.0,Saw III,6.1,1071,Darren Lynn Bousman,Oren Koules,Tobin Bell,Shawnee Smith,Lions Gate Films
4000000,Horror,215,en,Saw II,42.187986,2005-10-28,152925093,92.0,Saw II,6.3,1251,Darren Lynn Bousman,Oren Koules,Tobin Bell,Shawnee Smith,Lions Gate Films
185000000,Adventure|Action,217,en,Indiana Jones and the Kingdom of the Crystal Skull,75.674458,2008-05-21,786636033,122.0,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495,Steven Spielberg,Frank Marshall,Harrison Ford,Cate Blanchett,Lucasfilm
6400000,Action|Thriller|Science Fiction,218,en,The Terminator,74.234793,1984-10-26,78371200,108.0,The Terminator,7.3,4128,James Cameron,Gale Anne Hurd,Arnold Schwarzenegger,Michael Biehn,Orion Pictures
12899867,Comedy|Drama|Romance,219,es,Volver,19.747809,2006-03-16,85582407,121.0,Volver,7.3,406,Pedro Almodóvar,Esther García,Penélope Cruz,Carmen Maura,El Deseo
1288000,Drama|Mystery,223,en,Rebecca,18.426825,1940-04-12,6000000,130.0,Rebecca,7.7,336,Alfred Hitchcock,David O. Selznick,Laurence Olivier,Joan Fontaine,Selznick International Pictures
2000000,Crime|Drama,226,en,Boys Don't Cry,15.557144,1999-09-02,11540607,118.0,Boys Don't Cry,7.2,353,Kimberly Peirce,Morton Swinsky,Hilary Swank,Chloë Sevigny,Fox Searchlight Pictures
10000000,Crime|Drama,227,en,The Outsiders,13.455373,1983-03-25,33697647,91.0,The Outsiders,6.9,291,Francis Ford Coppola,Fred Roos,Matt Dillon,Ralph Macchio,American Zoetrope
50000000,Drama|Thriller,231,en,Syriana,16.871194,2005-11-23,94000000,128.0,Syriana,6.3,451,Stephen Gaghan,Michael Nozik,George Clooney,Matt Damon,Section Eight
8000000,Crime|Drama,235,en,Stand by Me,51.109279,1986-08-22,52287414,89.0,Stand by Me,7.8,1522,Rob Reiner,Andrew Scheinman,Wil Wheaton,River Phoenix,Columbia Pictures
6000000,Drama|Crime,238,en,The Godfather,143.659698,1972-03-14,245066411,175.0,The Godfather,8.4,5893,Francis Ford Coppola,Albert S. Ruddy,Marlon Brando,Al Pacino,Paramount Pictures
2883848,Comedy|Romance,239,en,Some Like It Hot,39.30982,1959-03-18,25000000,122.0,Some Like It Hot,8.0,808,Billy Wilder,Doane Harrison,Marilyn Monroe,Tony Curtis,The Mirisch Corporation
13000000,Drama|Crime,240,en,The Godfather: Part II,105.792936,1974-12-20,47542841,200.0,The Godfather: Part II,8.3,3338,Francis Ford Coppola,Mona Skager,Al Pacino,Robert Duvall,Paramount Pictures
54000000,Crime|Drama|Thriller,242,en,The Godfather: Part III,59.194915,1990-12-24,136766062,162.0,The Godfather: Part III,7.1,1546,Francis Ford Coppola,Charles Mulvehill,Al Pacino,Diane Keaton,Paramount Pictures
30000000,Comedy|Drama|Romance|Music,243,en,High Fidelity,23.982956,2000-03-17,47126295,113.0,High Fidelity,7.0,628,Stephen Frears,Rudd Simmons,John Cusack,Iben Hjejle,Buena Vista
27000000,Drama|Comedy|Romance,245,en,About a Boy,28.227984,2002-04-26,129000000,101.0,About a Boy,6.6,607,Paul Weitz,Jane Rosenthal,Hugh Grant,Nicholas Hoult,Universal Pictures
2900000,Comedy|Drama,248,en,Pocketful of Miracles,3.370225,1961-12-18,5000000,136.0,Pocketful of Miracles,7.3,25,Frank Capra,Frank Capra,Glenn Ford,Bette Davis,Franton Production
22000000,Fantasy|Drama|Thriller|Mystery|Romance,251,en,Ghost,41.967005,1990-07-12,505000000,127.0,Ghost,6.9,1339,Jerry Zucker,Howard W. Koch,Patrick Swayze,Demi Moore,Paramount Pictures
3000000,Family|Fantasy,252,en,Willy Wonka & the Chocolate Factory,23.981601,1971-06-29,4000000,100.0,Willy Wonka & the Chocolate Factory,7.4,798,Mel Stuart,David L. Wolper,Gene Wilder,Jack Albertson,Paramount Pictures
7000000,Adventure|Action|Thriller,253,en,Live and Let Die,30.465138,1973-07-05,161777836,121.0,Live and Let Die,6.4,533,Guy Hamilton,Harry Saltzman,Roger Moore,Yaphet Kotto,United Artists
207000000,Adventure|Drama|Action,254,en,King Kong,61.22601,2005-12-14,550000000,187.0,King Kong,6.6,2337,Peter Jackson,Carolynne Cunningham,Naomi Watts,Jack Black,WingNut Films
50000000,Crime|Drama|Family,257,en,Oliver Twist,20.415572,2005-09-23,42093706,130.0,Oliver Twist,6.7,274,Roman Polanski,Alain Sarde,Barney Clark,Ben Kingsley,R.P. Productions
3000000,Drama|Romance,261,en,Cat on a Hot Tin Roof,16.553594,1958-02-17,17570324,108.0,Cat on a Hot Tin Roof,7.6,165,Richard Brooks,Lawrence Weingarten,Elizabeth Taylor,Paul Newman,Avon Production
35000000,Fantasy|Action,268,en,Batman,44.104469,1989-06-23,411348924,126.0,Batman,7.0,2096,Tim Burton,Jon Peters,Jack Nicholson,Michael Keaton,PolyGram Filmed Entertainment
150000000,Action|Crime|Drama,272,en,Batman Begins,115.040024,2005-06-10,374218673,140.0,Batman Begins,7.5,7359,Christopher Nolan,Lorne Orleans,Christian Bale,Michael Caine,DC Comics
19000000,Crime|Drama|Thriller,274,en,The Silence of the Lambs,18.174804,1991-02-01,272742922,119.0,The Silence of the Lambs,8.1,4443,Jonathan Demme,Kenneth Utt,Jodie Foster,Anthony Hopkins,Orion Pictures
